"id","abbreviation","fullform","type","publication_id"
"243","ATR "," H. Torczyner, Altbabylonische Tempelrechnungen (Vienna 1913)   ",NULL,NULL
"244","Atra-hasis "," W.G. Lambert and A.R. Millard, Atra–hasis  the Babylonian Story of the Flood; with the Sumerian Flood Story by M. Civil  ",NULL,NULL
"245","ATT "," Tel Atshana (Alalakh) Text, excavation sigla   ",NULL,NULL
"246","ATU "," Archaische Texte aus Uruk  vol. 1, A. Falkenstein (= ADFU 2, 1926); vol. 2, M. Green/H. Nissen, Zeichenliste der archaischen Texte aus Uruk (= ADFU 11, 1987; see ZATU); vol. 3 , R. Englund/H. Nissen, Die lexikalischen Listen der Archaischen Texte aus Uruk (= ADFU 13, 1993); vol. 5 = R. Englund, Archaic Administrative Texts from Uruk  The Early Campaigns (= ADFU 15, 1994); vol. 7 , R. Englund/H. Nissen, Archaische Verwaltungstexte aus Uruk  Die Heidelberger Sammlung (= ADFU 17, 2001)",NULL,NULL
"247","AU "," F. Sommer, Die Ahhijava-Urkunden (= AMAW NF 6, 1932).   ",NULL,NULL
"248","AUAM (aka HMA) "," tablets in the collections of the Andrews University Archaeological Museum   ",NULL,NULL
"249","AUCT "," Andrews University Cuneiform Texts (Berriens Springs, Michigan 1984 ff.)   ",NULL,NULL
"250","AuOr (aka AulaOr.) "," Aula Orientalis (Barcelona 1983 ff.)   ",NULL,NULL
"251","AuOrS "," Aula Orientalis Supplements   ",NULL,NULL
"252","AUWE "," Ausgrabungen in Uruk-Warka. Endberichte (Mainz 1987 ff.)   ",NULL,NULL
"253","AVAM "," Allgemeine und Vergleichende Archäologie des Deutschen Archäologischen Instituts Bonn, Materialien (Munich)   ",NULL,NULL
"254","AW (aka Antike Welt) "," Antike Welt. Zeitschrift für Archäologie und Kulturgeschichte (Mainz 1970 ff.)   ",NULL,NULL
"255","AWAS "," G. J. Selz, Altsumerische Wirtschaftsurkunden Sammlungen, 2 vols., (Franz Steiner Verlag 1993)   ",NULL,NULL
"256","AWEL (aka G.J. Selz, AWEL) "," G. J. Selz, Die Altsumerischen Verwaltungstexte aus Lagash, Teil 1  Die Altsumerischen Wirtschaftsurkunden der Eremitage zu Leningrad, FAOS 15/1 (Stuttgart 1989)  ",NULL,NULL
"257","AWL "," J.Bauer, Altsumerische Wirtschaftstexte aus Lagasch (= StPohl 9, 1971)   ",NULL,NULL
"258","Aynard "," Jeanne-Marie Aynard, Le prisme du Lourvre AO 19.939. Bibliothè de l'École des Hautes École des Hautes Études, IVe section, sciences historiques et philologiques   ",NULL,NULL
"259","B. Rhode Island"," Davidson, A. 1939   ",NULL,NULL
"260","BA"," Beiträge zur Assyriologie (und semitischen Sprachwissenschaft)(Leipzig 1890 ff.)   ",NULL,NULL
"261","Baba and Ishmedagan"," lit. comp. Römer SKIZ 236ff., and dupls.   ",NULL,NULL
"262","BabAr"," series Babylonische Archive (Dresden 2002)   ",NULL,NULL
"263","BabLaws"," G. Driver/J. Miles, The Babylonian Laws (Oxford 1955)   ",NULL,NULL
"264","Babyl."," Babylonian   ",NULL,NULL
"265","Babyloniaca (aka Bab ; Babyl)"," Babyloniaca  Études de philologie assyrobabylonienne (Paris 1906-1937)  ",NULL,NULL
"266","Babylonian Genesis"," A. Heidel, The Babylonian Genesis   ",NULL,NULL
"267","Babylonisches Schrifttum"," E. Unger, Babylonisches Schrifttum (Leipzig 1921)   ",NULL,NULL
"268","BAD"," G. A. Barton, Sumerian Business and Administrative Documents from the Earliest Times to the Dynasty of Agade. UMBS, vol. 9, no. 1. (Philadelphia, 1915)   ",NULL,NULL
"269","BAfO"," Beihefte zum Archiv für Orientforschung (Berlin-Graz 1933ff.)   ",NULL,NULL
"270","BagF (aka BaFo)"," Bagdhader Forschungen (Mainz 1979 ff.)   ",NULL,NULL
"271","BagM (aka BaM)"," Baghdader Mitteilungen (Berlin 1960 ff.); Beih. = Beiheft.   ",NULL,NULL
"272","BAH"," Bibliothèque archéologique et historique, Institut Francais d'Archéologie de Beyrouth (Paris 1921 ff.)   ",NULL,NULL
"273","BAK"," H. Hunger, Babylonische und assyrische Kolophone, Neukirchen-Vluyn 1968.   ",NULL,NULL
"274","BAL"," R. Borger, Babylonisch-assyrische Lesestücke (Rome 1963(1); 1979(2) [= AnOr.54])   ",NULL,NULL
"275","Balag"," M.E. Cohen, An Analysis of the Balag-Compositions to the god Enlil (diss., Univ. of Pennsylvania)   ",NULL,NULL
"276","Balag Inanna"," lit. comp.; S.N. Kramer, Aula Or5, 71ff.   ",NULL,NULL
"277","BAM (aka Köcher Medizin)"," F. Köcher, Die babylonisch-assyrische Medizin in Texten und Untersuchungen (Berlin 1963 ff.)   ",NULL,NULL
"278","BAOM"," Bulletin of the Ancient Orient Museum (Tokyo 1979ff.)   ",NULL,NULL
"279","BAP"," B. Meissner, Beiträge zum altbabylonischen Privatrecht (= AB 11, 1893)   ",NULL,NULL
"280","BAR"," British Archaeological Reports. IS = International Series (London)   ",NULL,NULL
"281","BASOR"," Bulletin of the American Schools of Oriental Research (New Haven 1919 ff.)   ",NULL,NULL
"282","BATSH"," Berichte der Ausgrabung Tall Šēh Hamad/Dūr katlimmu (Berlin)   ",NULL,NULL
"283","BAU"," E. Burrows, Archaic Texts (UET 2; London 1935)   ",NULL,NULL
"284","Bauer"," Theo Bauer, Das Inschriftenwerk Assurbanipals (Leipzig 1972)   ",NULL,NULL
"285","BAV (aka Beziehungen)"," W. Helck, Die Beziehungen Ägyptens zu Vorderasien im 3. und 2. Jahrt. v. Chr. (Wiesbaden 19621; 19712)   ",NULL,NULL
"286","BAW"," Bayerische Akademie der Wissenschaften   ",NULL,NULL
"287","BB"," A. Ungnad, Babylonische Briefe aus der Zeit der Hammurapi-Dynastie. Vorderasiatische Bibliothek. (Leipzig, 1914)   ",NULL,NULL
"288","BBDCP"," E. Grant, Babylonian Business Documents of the Classical Period. (Philadelphia 1919)   ",NULL,NULL
"289","BBEA"," B. Landsberger and Th Bauer, Brief des Bischofs von Esagila an König Asarhaddon (Amsterdam 1965)   ",NULL,NULL
"290","BbJ"," W. Seipel and E. Wieczorek, eds., Von Babylon bis Jerusalem  Die Welt der altorientalischen Königsstädte I-II (Mannheim-Vienna-Milan 1999)  ",NULL,NULL
"291","BBR"," H. Zimmern, Beiträge zur Kenntnis der babylonischen Religion   ",NULL,NULL
"292","BBS (aka BBSt.)"," L.W. King, Babylonian Boundary Stones and Memorial Tablets in the British Museum (London 1912)   ",NULL,NULL
"293","BBVF (aka BBV)"," Berliner Beiträge zur Vor- und Frühgeschichte (Berlin 1957 ff.)   ",NULL,NULL
"294","BBVO"," Berliner Beiträge zum Vorderer Orient (Berlin 1982 ff.)   ",NULL,NULL
"295","BBVOT"," Berliner Beiträge zum Vorderer Orient Texte (Berlin 1989 ff.)   ",NULL,NULL
"296","BC"," C. Bezold, Catalogue of the Cuneiform Tablets in the Kouyunjik collection in the British Museum (5 vols.)   ",NULL,NULL
"297","BCH"," Bulletin de correspondance hellénique, École Francaise d'Athènes (Paris . . . 1877 ff.)   ",NULL,NULL
"298","BCSMS"," Bulletin of the Canadian Society for Mesopotamian Studies. (Toronto 1981-2005)   ",NULL,NULL
"299","BCT (aka CCTBCM, Watson Birmingham)"," P.J. Watson, Catalogue of cuneiform tablets in Birmingham City Museum   ",NULL,NULL
"300","BDHP"," L. Watermann, Business Documents of the Hammurapi Period (London 1916)   ",NULL,NULL
"301","BDTNS"," Base de Datos de Textos Neosumerios <http //bdtns.filol.csic.es> (Madrid)  ",NULL,NULL
"302","BE"," The Babylonian Expedition of the University of Pennsylvania (Philadelphia 1893 ff.)   ",NULL,NULL
"303","Beer and Brewing (aka A. L. Oppenheim, Beer)"," L.F. Hartman and A.L. Oppenheim, On Beer and Brewing Techniques in Ancient Mesopotamia (Baltimore 1950) (= JAOS Suppl. 10)   ",NULL,NULL
"304","Behrens"," T. Fish, The ""Behrens"" Collectlon of Sumerian Tablets in the Manchester Museum (= Notes from the Manchester Museum 30)   ",NULL,NULL
"305","Belleten (aka Bell)"," Türk Tarih Kurumu, Belleten (Ankara 1937 ff.).   ",NULL,NULL
"306","Berens (aka Pinches Berens, Berens Collection, BTBC, Berens Coll)"," G.T. Pinches, The Babylonian Tablets of the Berens Collection (= Asiatic Society Monographs 16, 1915)   ",NULL,NULL
"307","Beschwörungen"," M. Krebernik, Die Beschwörungen aus Fara und Ebla   ",NULL,NULL
"308","BHAch 1"," Bulletin d'histoire achéménide (Topoi Suppl. 1  1997)  ",NULL,NULL
"309","BHAch 2"," Bulletin d'histoire achéménide (Persika 1  2001)  ",NULL,NULL
"310","BHLT"," A. K. Grayson, Babylonian historical-literary texts, Toronto 1975.   ",NULL,NULL
"311","BHT"," S. Smith, Babylonian Historical Texts (London 1924)   ",NULL,NULL
"312","BiAr (aka BA)"," Biblical Archaeologist (New Haven 1938 ff.)   ",NULL,NULL
"313","Bib"," Pontificio Istituto biblico (Rome 1920 ff.)   ",NULL,NULL
"314","BID"," W. Farber, Beschwörungsrituale an Ishtar und Dumuzi (Wiesbaden 1977)   ",NULL,NULL
"315","Bier"," W. Röllig, Das Bier im alten Mesopotamien (Berlin 1970)   ",NULL,NULL
"316","BIFAO"," Bulletin de l'Institut Francais d'Archéologie Orientale au Caire, Le Caire   ",NULL,NULL
"317","bil."," Bilingual   ",NULL,NULL
"318","Bildatlas"," M. A. Beek, Bildatlas der assyrisch-babylonischen Kultur (Gütersloh 1961)   ",NULL,NULL
"319","Bilingual"," Bilingual reference(s)   ",NULL,NULL
"320","Bilinguismo"," Il bilinguismo a Ebla, ed. L. Cagni   ",NULL,NULL
"321","BiMes (aka BiMesop., BiblMes., BM)"," Bibliotheca Mesopotamica (Malibu 1975 ff.)   ",NULL,NULL
"322","BIN"," Babylonian lnscriptions in the Collection of J. B. Nies (New Haven 1917 ff.)   ",NULL,NULL
"323","BiOr"," Bibliotheca Orientalis (Leiden 1943/44 ff.)   ",NULL,NULL
"324","Bird and Fish"," lit. comp.; ms. M. Roth; rev. ms. Å.W. Sjöberg   ",NULL,NULL
"325","Bismya"," E. Banks, Bismya of The Lost City of Adab (New York-London 1912)   ",NULL,NULL
"326","Bit rimki"," ritual series; see R. Borger, JCS 21, lff   ",NULL,NULL
"327","Bit Rimki"," J. Laessoe, Studies on the Assyrian Ritual and Series bit rimki   ",NULL,NULL
"328","BIWA"," R. Borger, Beiträge zum Inschriftenwerk Assurbanipals, (Wiesbaden 1996)   ",NULL,NULL
"329","BJRL"," Bulletin of the John Rylands Library, (Manchester, 1903ff.)   ",NULL,NULL
"330","BJV (aka BJVF)"," Berliner Jahrbuch für Vor- und Frühgeschichte, NF = Neue Folge (Berlin 1961 ff.)   ",NULL,NULL
"331","BKR"," U. Seidl, Die babylonischen Kudurru-Reliefs (= OBO 87, 1989)   ",NULL,NULL
"332","BL"," S. Langdon, Babylonian Liturgies; coll. R. Borger   ",NULL,NULL
"333","BL"," A. Ungnad, Babylonian Letters of the Hammurapi Period. UVBS 7. (Philadelphia 1915)   ",NULL,NULL
"334","BLMJ"," Museum siglum of the Bible Lands Museum, Jerusalem   ",NULL,NULL
"335","BM"," Museum siglum of the British Museum, London   ",NULL,NULL
"336","BM Creation"," Babylonian Legends of the Creation, British Museum, 1921   ",NULL,NULL
"337","BM Messenger (aka Sigrist Messenger)"," M. Sigrist, Messenger Texts from the British Museum   ",NULL,NULL
"338","BMAH"," Bulletin des Musées Royaux d'Art et d'Histoire, (Brussels 1901 ff.)   ",NULL,NULL
"339","BMB"," Bulletin du Musée de Beyrouth, (1937 ff.)   ",NULL,NULL
"340","BMC"," Bollettino dei Musei Comunali di Roma   ",NULL,NULL
"341","BMEJ (aka BMECCJ)"," Bulletin of the Middle Eastern Culture Center in Japan (Wiesbaden 1984 ff.)   ",NULL,NULL
"342","BMFA"," Bulletin of the Museum of Fine Arts, (Boston 1926-1965)   ",NULL,NULL
"343","BMisc."," F.H. Weissbach, Babylonische Miscellen, (Leipzig 1903)   ",NULL,NULL
"344","BMHBA"," Dávid, A. 1955   ",NULL,NULL
"345","BMMA"," Bulletin of the Metropolitan Museum of Art, (New York 1905 ff.)   ",NULL,NULL
"346","BMQ"," British Museum Quarterly (London)   ",NULL,NULL
"347","BMRAH"," Bulletin des Musées Royaux d'Art et d'Histoire (Bruxelles)   ",NULL,NULL
"348","BMS"," L.W. King, Babylonian Magic and Sorcery (London 1896)   ",NULL,NULL
"349","BN"," Biblische Notizen. Beiträge zur exegetischen Diskussion (Bamberg 1976 ff.)   ",NULL,NULL
"350","BNYPL"," Bulletin of the New York Public Library (New York)   ",NULL,NULL
"351","Bo."," Tablet siglum of (unpublished) texts from Bogazköy   ",NULL,NULL
"352","BOC"," W. G. Lambert, Babylonian Oracle Questions, Eisenbrauns, 2007   ",NULL,NULL
"353","Bogh."," Boghazkoy   ",NULL,NULL
"354","BoHa"," Bogazköy-Hattusha. Ergebnisse der Ausgrabungen (1-8 in WVDOG, Stuttgart/Berlin 1952ff.)   ",NULL,NULL
"355","Boissier Choix"," A. Boissier, Choix de textes relatifs à la divination assyro-babylonienne (1905)   ",NULL,NULL
"356","BOR"," Babylonian and Oriental Record, (London 1886-1901)   ",NULL,NULL
"357","Borger"," Rykle Borger, Assyrisch-babylonische Zeichenliste (Kevelaer 1978)   ",NULL,NULL
"358","Bork, Zeughausurkungen"," Ferdinand Bork, Die Zeughausurkunden von Susa, Teil I ( = Altkaukasische Studien, Heft III, Leipzig 1941)   ",NULL,NULL
"359","BoSt"," Boghazköi-Studien (Leipzig 1917 ff.)   ",NULL,NULL
"360","BoTU"," Boghazköi-Texte in Umschrift (Leipzig 1922-1926)   ",NULL,NULL
"361","Boyer Contribution"," Contribution a L'histoire Juridique   ",NULL,NULL
"362","BPO "," Babylonian Planetary Omens (1975 onwards)   ",NULL,NULL
"363","BPOA"," Biblioteca del Proximo Oriente Antiguo (Madrid, 2006ff.)   ",NULL,NULL
"364","Br"," R.E. Brunnow, A Classified List of Cuneiform ideographs (Leyden, 1887)   ",NULL,NULL
"365","BRAD"," J. Augapfel, Babylonische Rechtsurkunden aus der Regierungszeit Artaxerxes l. u. Darius II. (Vienna 1917)   ",NULL,NULL
"366","BRM"," Babylonian Records in the Library of J. Pierpont Morgan (New Haven 1917 ff.)   ",NULL,NULL
"367","Brockmon"," R. Kutscher, The Brockmon Tablets at the Univ. of Haifa  Royal Inscriptions  ",NULL,NULL
"368","BSA"," Bulletin on Sumerian Agriculture (Cambridge, England, 1984 ff.)   ",NULL,NULL
"369","BSL"," Bulletin de la Société de Linguistique de Paris (Paris)   ",NULL,NULL
"370","BSOAS (aka BSOS)"," Bulletin of the School of Oriental (and African) Studies (London 1917 ff.)   ",NULL,NULL
"371","BSWSAS"," Sejnen Aja Kenkyû (Bulletin of the Society for Western and Southern Asiatic Studies, Kyoto University (Kyoto 1958ff.)   ",NULL,NULL
"372","BT"," Brockman Tablets   ",NULL,NULL
"373","BTL (aka BT)"," Babylonische Texte (Leipzig 1889-1897)   ",NULL,NULL
"374","BTT"," Babylonian Topographical Texts (George)   ",NULL,NULL
"375","Bu (aka Bu.)"," museum siglum of the British Museum (Budge)   ",NULL,NULL
"376","BuA"," B. Meissner, Babylonien und Assyrien (Heidelberg 1920/25)   ",NULL,NULL
"377","Buccellati Amorites"," G. Buccellati, The Amorites of the Ur III Period   ",NULL,NULL
"378","Buffalo SNS"," Hussey, M. 1915   ",NULL,NULL
"379","Bursin 1"," (StOr 49, 26)   ",NULL,NULL
"380","Bursin 2"," (StOr 49, 26)   ",NULL,NULL
"381","Bursin 3"," (StOr 49, 27)   ",NULL,NULL
"382","Bursin 4"," (RIME 4  Bursin 2001)  ",NULL,NULL
"383","Bursin lff."," royal inscr.   ",NULL,NULL
"384","Bursin seals a-e"," (StOr49,27f.;RIME4  Bursin 2002-2006)  ",NULL,NULL
"385","BVW"," Erich Ebeling, Bruchstücke einer mittelassyrischen Vorschriftensammlung für die Akklimatisierung und Trainierung von Wagenpferden, Deutsche Akademie der Wissenschaften zu Berlin, Institut für Orientforschung Veröffentlichung No. 7. (Berlin 1951  Akademie Verlag)  ",NULL,NULL
"386","BWL"," W.G. Lambert, Babylonian Wisdom Literature (Oxford 1959)   ",NULL,NULL
"387","BzN"," Beiträge zur Namenforschung (Heidelberg)   ",NULL,NULL
"388","bzw."," respectively (beziehungsweise)   ",NULL,NULL
"389","C "," consonant   ",NULL,NULL
"390","CA "," Current Anthropology (Chicago 1960 ff.)   ",NULL,NULL
"391","CAD "," The Assyrian Dictionary of the University of Chicago (Chicago 1956 ff.)   ",NULL,NULL
"392","CAH "," The Cambridge Ancient History (Cambridge, England 1970 ff.3)   ",NULL,NULL
"393","CahDAFI "," Cahiers de la Délégation archéologique française en Iran   ",NULL,NULL
"394","Calendars "," M.E. Cohen, The Cultic Calendars of the Ancient Near East   ",NULL,NULL
"395","Camb. "," J. N. Strassmaier, Inschriften von Cambyses, König von Babylon (= BT 8-9, 1890)   ",NULL,NULL
"396","CANES "," E. Porada, Corpus of Ancient Near Eastern Seals in North American Collections, I  The Collection of the Pierpont Morgan Library (Washington 1948)  ",NULL,NULL
"397","CanLam "," M. E. Cohen, The Canonical Lamentations of Ancient Mesopotamia (Potomac, Maryland 1988)   ",NULL,NULL
"398","Cat. "," L. de Clerq/J. Ménamt, Collection de Clerq, catalogue …, I (Paris 1885/ 1888), II (1890/1903)   ",NULL,NULL
"399","Cat. "," K. Bezold, Catalogue of the Cuneiform Tablets in the Kouyunjik Collection   ",NULL,NULL
"400","CAT "," A. F. Rainey, Canaanite in the Amarna Tablets, HdO I 25, 1-4, Leiden 1996   ",NULL,NULL
"401","Cat RSM 1907.690-50 5 "," Dalley, S. 1979   ",NULL,NULL
"402","Catalogue 3 "," Auction nd   ",NULL,NULL
"403","Catalogue Louvre "," L. Heuzey, Musée National du Louvre, Catalogue des Antiquités Chaldéenes, sculpture et gravure à; la pointe (Paris 1902)   ",NULL,NULL
"404","CatBM "," H.H. Figulla, Catalogue of the Babylonian Tablets in the British Museum   ",NULL,NULL
"405","CB "," C.E. Keiser, Cuneiform Bullae of the Third Millennium B.C. Bab. Records in the Library of J.P. Morgan, part III. (New York, 1914)   ",NULL,NULL
"406","CBCT "," Chiera, E., Catalogue of the Babylonian Cuneiform Tablets in the Princeton University Library (Princeton 1921)   ",NULL,NULL
"407","CBCY "," Beckman, G. et al, Catalogue of the Babylonian collections at Yale   ",NULL,NULL
"408","CBI "," C. B. F. Walker, Cuneiform Brick Inscriptions in The British Museum, the Ashmolean Museum, Oxford, the City of Birmingham Museums and Art Gallery, the City of Bristol Museum and Art Gallery (London 1981)   ",NULL,NULL
"409","CBS "," Museum siglum of the University Museum in Philadelphia (Catalogue of the Babylonian Section)   ",NULL,NULL
"410","CCL (aka Cat., CCO) "," L. Delaporte, Musée du Louvre, Catalogue des cylindres orientaux, cachets et pierres gravées de style oriental, I  Fouilles et missions (Paris 1920); II  Acquisitions (1923) ",NULL,NULL
"411","CCT "," Cuneiform Texts from Cappadocian Tablets in the British Museum (London 1921-75)   ",NULL,NULL
"412","CDA "," Concise Dictionary of Akkadian   ",NULL,NULL
"413","CdC II "," L. de Clercq/J. Menant, Collection de Clercq, Bd. II (Cachets, briques, bronces, bas-reliefs) (Paris 1903)   ",NULL,NULL
"414","CDCPP "," R. H. Sack, Cuneiform documents from the Chaldean and Persian period (London/Toronto 1994)   ",NULL,NULL
"415","CDLI "," Cuneiform Digital LIbrary Initiative <http //cdli.ucla.edu/> (Los Angeles/Berlin)  ",NULL,NULL
"416","CDLB "," Cuneiform Digital Library Bulletin <http //cdli.ucla.edu/pubs/cdlb.html> (Los Angeles/Berlin 2002ff.)  ",NULL,NULL
"417","CDLJ "," Cuneiform Digital Library Journal <http //cdli.ucla.edu/pubs/cdlj.html> (Los Angeles/Berlin 2002ff.)  ",NULL,NULL
"418","CDLN "," Cuneiform Digital Library Notes <http //cdli.ucla.edu/pubs/cdln.html> (Los Angeles/Berlin 2003ff.)  ",NULL,NULL
"419","CE "," Codex Eshnunna   ",NULL,NULL
"420","cf. "," confer   ",NULL,NULL
"421","CGSL "," S. Moscati, A. Spitaler, E. Ullendorff and W. von Soden, An Introduction to the Comparative Grammar of the Semitic Languages, Wiesbaden 1964; 3d edition, 1980   ",NULL,NULL
"422","CH "," Codex Hammurabi   ",NULL,NULL
"423","CHANE "," Culture and history of the ancient Near East   ",NULL,NULL
"424","Chantre "," E. Chantre (ed.), Mission en Cappadoce 1893-1894 (Paris, 1898)   ",NULL,NULL
"425","CHD "," The Hittite Dictionary of the Oriental Institute of the University of Chicago (Chicago 1980 ff.)   ",NULL,NULL
"426","CHEU (aka Contenau Contribution, HEU) "," G. Contenau, Contribution à; I'histoire économique d'Umma (= Bibliothèque de l'école des Hautes Études, sciences philologiques et historiques 119, Paris 1915)   ",NULL,NULL
"427","CHJ "," G. Boyer, Contribution à; I'histoire juridique de la 1re Dynastie Babylonienne (Paris 1928)   ",NULL,NULL
"428","Chronicles "," L.W King, Chronicles Concerning Early Babylonian Kings   ",NULL,NULL
"429","ChS "," Corpus der hurritischen Sprachdenkmäler (Rome 1984 ff.)   ",NULL,NULL
"430","CICh "," C. F. Lehmann-Haupt, Corpus inscriptionum chaldaicarum (Berlin 1928/1935)   ",NULL,NULL
"431","CII (aka CIIran) "," Corpus Inscriptionum Iranicarum (London 1955 ff.)   ",NULL,NULL
"432","Circulation of Goods "," A. Archi (ed.), Circulation of Goods in Non-palatial Context in the Ancient Near East (Rome 1984)   ",NULL,NULL
"433","CIRPL (aka Sollberger Corpus) "," E. Sollberger, Corpus des inscriptions ""royales"" présargoniques de Lagash (Geneva 1956)   ",NULL,NULL
"434","CKU "," P. Michalowski, Correspondence of the Kings of Ur (2011)   ",NULL,NULL
"435","CL "," Codex Lipit-Ishtar   ",NULL,NULL
"436","Clerge "," D. Charpin, Le clerge d'Ur   ",NULL,NULL
"437","CM "," Cuneiform Monographs (Groningen 1992 ff.)   ",NULL,NULL
"438","CMH "," Museum sigla  Série H du Cabinet des Médailles  ",NULL,NULL
"439","CNIP "," Carsten Niebuhr Institute Publications   ",NULL,NULL
"440","CNRS "," Centre national de la recherche scientifique, Paris   ",NULL,NULL
"441","col(s). "," column(s)   ",NULL,NULL
"442","coll. "," collated, collation   ",NULL,NULL
